age,gender,country,level_education,job,programming_experience,programming_languages,programming_language_learning_first,computing_platform,used_TPU,used_ml_methods,primary_tool_analyze_data,salary
22-24,Man,South Africa,Bachelor’s degree,Data Scientist,< 1 years,Python,SQL,A personal computer / desktop,Once,Under 1 year,Other,$0-999
22-24,Man,Pakistan,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,6-25 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","5,000-7,499"
22-24,Man,Mexico,Master’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
22-24,Woman,India,Master’s degree,Data Scientist,10-20 years,Python,Python,"A deep learning workstation (NVIDIA GTX, LambdaLabs, etc)",6-25 times,3-4 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","40,000-49,999"
22-24,Man,Egypt,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","15,000-19,999"
22-24,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","5,000-7,499"
22-24,Man,United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,6-25 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","90,000-99,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","80,000-89,999"
22-24,Woman,Nigeria,Master’s degree,Data Scientist,1-3 years,Python,SQL,A laptop,Never,Under 1 year,Other,"5,000-7,499"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","15,000-19,999"
22-24,Man,Kenya,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,Colombia,Master’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","10,000-14,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,SQL,A laptop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,6-25 times,Under 1 year,"Advanced statistical software (SPSS, SAS, etc.)","4,000-4,999"
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
22-24,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","3,000-3,999"
22-24,Man,Japan,Bachelor’s degree,Data Scientist,1-3 years,Python,C,A personal computer / desktop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","50,000-59,999"
22-24,Man,China,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
22-24,Man,Colombia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
22-24,Man,India,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","1,000-1,999"
22-24,Man,China,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
22-24,Man,Poland,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","15,000-19,999"
22-24,Man,Morocco,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,Spain,Master’s degree,Data Scientist,5-10 years,Python,C,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","25,000-29,999"
22-24,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,< 1 years,Python,SQL,A laptop,2-5 times,Under 1 year,Other,$0-999
22-24,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Woman,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","2,000-2,999"
22-24,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,Other,$0-999
22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,2-3 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","15,000-19,999"
22-24,Woman,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,Poland,Master’s degree,Data Scientist,3-5 years,Python,SQL,A laptop,Never,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","40,000-49,999"
22-24,Man,China,Master’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","4,000-4,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,China,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Woman,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","5,000-7,499"
22-24,Man,Viet Nam,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,Brazil,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","60,000-69,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,C,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,France,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
22-24,Woman,Kenya,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","7,500-9,999"
22-24,Man,Japan,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","5,000-7,499"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,None,Once,Under 1 year,Other,$0-999
22-24,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","2,000-2,999"
22-24,Man,Egypt,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Woman,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","7,500-9,999"
22-24,Woman,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
22-24,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,MATLAB,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","7,500-9,999"
22-24,Man,Pakistan,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","5,000-7,499"
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,Other,Doctoral degree,Data Scientist,3-5 years,Python,Python,A laptop,Once,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","300,000-499,999"
22-24,Woman,Tunisia,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,Egypt,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A personal computer / desktop,2-5 times,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","15,000-19,999"
22-24,Woman,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","15,000-19,999"
22-24,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Once,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
22-24,Man,South Korea,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","7,500-9,999"
22-24,Woman,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,United States of America,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
22-24,Man,Russia,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","90,000-99,999"
22-24,Man,India,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","40,000-49,999"
22-24,Man,China,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,2-5 times,Under 1 year,Other,"2,000-2,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",">$1,000,000"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","15,000-19,999"
22-24,Man,Brazil,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","1,000-1,999"
22-24,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","4,000-4,999"
22-24,Man,Germany,Master’s degree,Data Scientist,1-3 years,Python,C++,A laptop,6-25 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
22-24,Woman,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
22-24,Man,Viet Nam,Some college/university study without earning a bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,I do not use machine learning methods,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
22-24,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","10,000-14,999"
22-24,Man,Indonesia,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","5,000-7,499"
22-24,Man,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","40,000-49,999"
22-24,Man,United States of America,Master’s degree,Data Scientist,3-5 years,Python,C++,A laptop,2-5 times,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
25-29,Man,Ukraine,Some college/university study without earning a bachelor’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
25-29,Man,Peru,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,3-4 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","15,000-19,999"
25-29,Woman,Tunisia,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
25-29,Man,India,Master’s degree,Data Scientist,3-5 years,Python,SQL,A laptop,Once,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
25-29,Man,Morocco,Doctoral degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",6-25 times,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
25-29,Man,India,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,2-3 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","10,000-14,999"
25-29,Woman,Nigeria,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
25-29,Woman,United States of America,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Once,3-4 years,"Advanced statistical software (SPSS, SAS, etc.)","90,000-99,999"
25-29,Man,Brazil,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,More than 25 times,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
25-29,Man,Japan,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
25-29,Man,Germany,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
25-29,Woman,India,Master’s degree,Data Scientist,3-5 years,Python,Python,A personal computer / desktop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
25-29,Man,Brazil,Doctoral degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
25-29,Man,Taiwan,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",More than 25 times,4-5 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","60,000-69,999"
25-29,Man,Switzerland,Master’s degree,Data Scientist,5-10 years,Python,Python,A personal computer / desktop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
25-29,Man,Argentina,Doctoral degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","30,000-39,999"
25-29,Woman,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","1,000-1,999"
25-29,Woman,Saudi Arabia,Bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
25-29,Woman,United States of America,Bachelor’s degree,Data Scientist,< 1 years,Python,SQL,A laptop,Never,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","200,000-249,999"
25-29,Man,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","3,000-3,999"
25-29,Man,Pakistan,Master’s degree,Data Scientist,5-10 years,Python,Python,A laptop,Once,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","10,000-14,999"
25-29,Woman,Australia,Master’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,2-3 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","50,000-59,999"
25-29,Woman,France,Master’s degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,Under 1 year,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","2,000-2,999"
25-29,Man,India,Bachelor’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,3-4 years,Other,"125,000-149,999"
25-29,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,4-5 years,"Advanced statistical software (SPSS, SAS, etc.)","125,000-149,999"
25-29,Man,Bangladesh,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Never,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)",$0-999
25-29,Prefer not to say,India,Master’s degree,Data Scientist,10-20 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,5-10 years,"Advanced statistical software (SPSS, SAS, etc.)","25,000-29,999"
25-29,Man,Other,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,< 1 years,Python,SQL,A laptop,Once,Under 1 year,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)","50,000-59,999"
25-29,Man,United States of America,Bachelor’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","125,000-149,999"
25-29,Man,India,I prefer not to answer,Data Scientist,< 1 years,Python,Python,A laptop,2-5 times,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
25-29,Woman,United States of America,Bachelor’s degree,Data Scientist,3-5 years,Python,SQL,A laptop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","100,000-124,999"
25-29,Woman,India,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","20,000-24,999"
25-29,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,1-2 years,"Business intelligence software (Salesforce, Tableau, Spotfire, etc.)",$0-999
25-29,Man,Germany,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","7,500-9,999"
25-29,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,2-5 times,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
25-29,Man,Japan,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,2-3 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","50,000-59,999"
25-29,Woman,Japan,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","50,000-59,999"
25-29,Man,Other,Bachelor’s degree,Data Scientist,5-10 years,Python,SQL,A laptop,Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
25-29,Man,Belgium,Master’s degree,Data Scientist,5-10 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",2-5 times,1-2 years,"Cloud-based data software & APIs (AWS, GCP, Azure, etc.)","25,000-29,999"
25-29,Man,India,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,Once,3-4 years,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)","10,000-14,999"
25-29,Woman,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
25-29,Man,India,Bachelor’s degree,Data Scientist,3-5 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","40,000-49,999"
25-29,Man,Spain,Master’s degree,Data Scientist,5-10 years,Python,Python,A personal computer / desktop,Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
25-29,Man,United States of America,Master’s degree,Data Scientist,3-5 years,Python,R,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Never,4-5 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
25-29,Man,Japan,Master’s degree,Data Scientist,1-3 years,Python,Python,A laptop,6-25 times,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","50,000-59,999"
25-29,Man,Brazil,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","7,500-9,999"
25-29,Man,Germany,Master’s degree,Data Scientist,1-3 years,Python,Python,"A cloud computing platform (AWS, Azure, GCP, hosted notebooks, etc)",Once,3-4 years,"Local development environments (RStudio, JupyterLab, etc.)","70,000-79,999"
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,5-10 years,Python,Python,A laptop,2-5 times,2-3 years,"Local development environments (RStudio, JupyterLab, etc.)","80,000-89,999"
25-29,Man,China,Doctoral degree,Data Scientist,1-3 years,Python,Python,A personal computer / desktop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","3,000-3,999"
25-29,Woman,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,"Basic statistical software (Microsoft Excel, Google Sheets, etc.)",$0-999
25-29,Woman,South Korea,Some college/university study without earning a bachelor’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Never,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)","2,000-2,999"
25-29,Man,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Scientist,3-5 years,Python,Python,A laptop,Once,5-10 years,"Local development environments (RStudio, JupyterLab, etc.)","60,000-69,999"
25-29,Man,Turkey,Master’s degree,Data Scientist,1-3 years,Python,SQL,A laptop,Never,1-2 years,"Local development environments (RStudio, JupyterLab, etc.)","5,000-7,499"
25-29,Woman,India,Master’s degree,Data Scientist,< 1 years,Python,Python,A laptop,Once,Under 1 year,"Local development environments (RStudio, JupyterLab, etc.)",$0-999
